item_id,item_name,price
1,regular pearl milk tea,5.8
2,honey pearl milk tea,6
3,mango green milk tea,6.5
4,thai pearl milk tea,6.25
5,coconut pearl milk tea,6.75
6,mango green tea,5.8
7,passion chess tea,6.25
8,berry lychee tea,6.25
9,peach tea,6.25
10,honey lemonade tea,5.2
11,matcha pearl milk tea,6.5
12,regular matcha fresh milk,6.25
13,strawberry matcha fresh milk,6.5
14,mango matcha fresh milk,6.5
15,ice blended matcha,6.5
16,oreo with pearls,6.75
17,taro with pudding,6.75
18,thai tea with pearls,6.75
19,mango with ice cream,6.75
20,peach tea with lychee jelly,6.95
